(146, 127)
(146, 254)
(146, 381)
(146, 635)
(146, 762)
(146, 889)
(146, 1016)
(292, 127)
(292, 254)
(292, 381)
(292, 1016)
(438, 127)
(438, 254)
(438, 381)
(438, 762)
(438, 1016)
(584, 127)
(584, 1016)
(730, 127)
(876, 127)
(876, 889)
(876, 1016)
(1022, 127)
(1022, 254)
(1022, 889)
(1022, 1016)
(1168, 127)
(1168, 254)
(1168, 889)
(1168, 1016)
(1314, 127)
(1314, 254)
(1314, 889)
(1314, 1016)
(1460, 254)
(1460, 381)
(1460, 508)
(1460, 635)
(1460, 762)
(1460, 889)
(1606, 127)

(146, 508)
(292, 508)
(292, 635)
(292, 762)
(292, 889)
(438, 508)
(438, 635)
(438, 889)
(584, 254)
(584, 381)
(584, 508)
(584, 635)
(584, 762)
(584, 889)
(730, 254)
(730, 381)
(730, 508)
(730, 635)
(730, 762)
(730, 889)
(730, 1016)
(876, 254)
(876, 381)
(876, 508)
(876, 635)
(876, 762)
(1022, 381)
(1022, 508)
(1022, 635)
(1022, 762)
(1168, 381)
(1168, 508)
(1168, 635)
(1168, 762)
(1314, 381)
(1314, 508)
(1314, 635)
(1314, 762)
(1460, 127)
(1460, 1016)
(1606, 254)
(1606, 381)
(1606, 508)
(1606, 635)
(1606, 762)
(1606, 889)
(1606, 1016)
